Variable,VariableL1,Unit,VarGroup
Water Withdrawal|Electricity|Nuclear,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Oil,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Oil|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Oil|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Wind,Water Withdrawal,km3/yr,Water
Water Withdrawal|Industrial Water,Water Withdrawal,km3/yr,Water
Water Withdrawal|Irrigation,Water Withdrawal,km3/yr,Water
Water Withdrawal|Municipal Water,Water Withdrawal,km3/yr,Water
Yield|Cereal,Yield,t DM/ha/yr,AgLU
Capacity Additions|Electricity|Coal|w/ CCS,Capacity Additions,GW/yr,Energy
Capacity|Electricity|Storage,Capacity,GW,Energy
Capacity|Electricity|Storage Capacity,Capacity,GWh,Energy
Capital Stock,Capital Stock,billion US$2010/yr,Macroeconomic
Concentration|CH4,Concentration,ppb,Emissions & Climate
Concentration|CO2,Concentration,ppm,Emissions & Climate
Concentration|N2O,Concentration,ppb,Emissions & Climate
Cumulative Capacity|Electricity|Coal|w/ CCS,Cumulative Capacity,GW,Energy
Emissions|CH4|AFOLU|Agriculture,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|AFOLU|Agriculture|Livestock,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|N2O|AFOLU|Agriculture,Emissions,kt N2O/yr,Emissions & Climate
Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management,Emissions,kt N2O/yr,Emissions & Climate
Emissions|N2O|AFOLU|Agriculture|Managed Soils,Emissions,kt N2O/yr,Emissions & Climate
Energy Service|Transportation|Freight,Energy Service,bn tkm/yr,Energy
Energy Service|Transportation|Freight|Aviation,Energy Service,bn tkm/yr,Energy
Energy Service|Transportation|Freight|International Shipping,Energy Service,bn tkm/yr,Energy
Energy Service|Transportation|Freight|Navigation,Energy Service,bn tkm/yr,Energy
Energy Service|Transportation|Freight|Railways,Energy Service,bn tkm/yr,Energy
Energy Service|Transportation|Freight|Road,Energy Service,bn tkm/yr,Energy
Energy Service|Transportation|Passenger,Energy Service,bn pkm/yr,Energy
Energy Service|Transportation|Passenger|Aviation,Energy Service,bn pkm/yr,Energy
Energy Service|Transportation|Passenger|Railways,Energy Service,bn pkm/yr,Energy
