Variable,VariableL1,Unit,VarGroup
Forcing|Albedo Change and Mineral Dust,Forcing,W/m2,Emissions & Climate
Investment|Energy Supply|Hydrogen|Renewable,Investment,billion US$2010/yr,Macroeconomic
Land Cover|Cropland|Energy Crops|Irrigated,Land Cover,million ha,AgLU
Land Cover|Forest|Afforestation and Reforestation,Land Cover,million ha,AgLU
Lifetime|Electricity|Biomass|w/ CCS,Lifetime,years,Energy
Lifetime|Electricity|Coal|w/ CCS,Lifetime,years,Energy
Lifetime|Electricity|Gas|w/ CCS,Lifetime,years,Energy
Lifetime|Electricity|Hydro,Lifetime,years,Energy
Lifetime|Electricity|Nuclear,Lifetime,years,Energy
Lifetime|Electricity|Solar|CSP,Lifetime,years,Energy
Lifetime|Electricity|Solar|PV,Lifetime,years,Energy
Lifetime|Electricity|Wind|Offshore,Lifetime,years,Energy
Lifetime|Electricity|Wind|Onshore,Lifetime,years,Energy
Lifetime|Hydrogen|Biomass|w/ CCS,Lifetime,years,Energy
Lifetime|Hydrogen|Biomass|w/o CCS,Lifetime,years,Energy
Lifetime|Hydrogen|Coal|w/ CCS,Lifetime,years,Energy
Lifetime|Hydrogen|Coal|w/o CCS,Lifetime,years,Energy
Lifetime|Hydrogen|Electricity,Lifetime,years,Energy
Lifetime|Hydrogen|Gas|w/ CCS,Lifetime,years,Energy
OM Cost|Fixed|Electricity|Solar|CSP,OM Cost,US$2010/kW/yr,Energy
